Polling_firm,PollDate,LPC,CPC,NDP,BQ,GPC,PPC,SampleSize,mode,NumDays,Other,pollster_id,mode_id
Mainstreet Research,2022-02-17,0.306,0.387,0.146,0.063,0.019,0.062,1323,IVR,851,0.016999999999999904,1,1
Nanos Research,2022-02-11,0.306,0.311,0.16899999999999998,0.071,0.064,0.071,1000,IVR,845,0.008000000000000007,2,1
Abacus Data,2022-02-08,0.33,0.3,0.19,0.08,0.03,0.06,1500,IVR,842,0.010000000000000009,3,1
Leger,2022-02-06,0.33,0.29,0.21,0.08,0.04,0.04,1546,IVR,840,0.010000000000000009,4,1
Mainstreet Research,2022-01-23,0.294,0.293,0.16699999999999998,0.057999999999999996,0.032,0.127,1813,online,826,0.028999999999999915,1,2
Leger,2022-01-23,0.34,0.31,0.18,0.07,0.03,0.06,1525,IVR,826,0.009999999999999787,4,1
EKOS,2022-01-17,0.303,0.297,0.195,0.059000000000000004,0.045,0.091,2612,online,820,0.010000000000000009,5,2
Nanos Research,2022-01-14,0.282,0.285,0.243,0.061,0.063,0.053,1000,IVR,817,0.013000000000000012,2,1
Angus Reid,2022-01-12,0.34,0.29,0.2,0.05,0.03,0.06,5002,IVR,815,0.029999999999999805,6,1
Abacus Data,2022-01-12,0.32,0.3,0.19,0.08,0.03,0.07,2200,IVR,815,0.010000000000000009,3,1
Nanos Research,2022-01-07,0.306,0.29,0.214,0.062,0.061,0.057,1000,IVR,810,0.01000000000000012,2,1
EKOS,2021-12-21,0.32,0.25,0.23,0.04,0.04,0.1,1015,online,793,0.019999999999999907,5,2
Leger,2021-12-05,0.36,0.29,0.19,0.07,0.03,0.05,1547,IVR,777,0.010000000000000009,4,1
Mainstreet Research,2021-11-30,0.335,0.303,0.157,0.055,0.032,0.1,1719,online,772,0.017999999999999905,1,2
Abacus Data,2021-11-30,0.32,0.3,0.2,0.08,0.03,0.06,2025,IVR,772,0.010000000000000009,3,1
Angus Reid,2021-11-29,0.35,0.29,0.2,0.07,0.02,0.05,2005,IVR,771,0.020000000000000018,6,1
EKOS,2021-11-21,0.304,0.266,0.191,0.059000000000000004,0.052000000000000005,0.114,1006,online,763,0.01399999999999979,5,2
Leger,2021-11-07,0.35,0.26,0.22,0.08,0.03,0.05,1565,IVR,749,0.010000000000000009,4,1
Nanos Research,2021-10-29,0.308,0.301,0.21600000000000003,0.07400000000000001,0.031,0.057999999999999996,1000,IVR,740,0.01200000000000001,2,1
Nanos Research,2021-10-22,0.299,0.308,0.231,0.073,0.027000000000000003,0.053,1000,IVR,733,0.009000000000000008,2,1
Abacus Data,2021-10-20,0.33,0.3,0.19,0.07,0.03,0.06,2220,IVR,731,0.019999999999999796,3,1
Nanos Research,2021-08-13,0.33399999999999996,0.284,0.207,0.063,0.079,0.019,1000,IVR,663,0.014000000000000123,2,1
Leger,2021-08-12,0.35,0.3,0.19,0.07,0.05,0.03,1615,IVR,662,0.010000000000000009,4,1
Abacus Data,2021-08-11,0.37,0.28,0.2,0.05,0.05,0.04,3000,IVR,661,0.009999999999999787,3,1
EKOS,2021-08-10,0.363,0.27699999999999997,0.18600000000000003,0.053,0.068,0.046,1482,online,660,0.006999999999999895,5,2
Nanos Research,2021-08-06,0.37,0.273,0.19,0.057999999999999996,0.07,0.022000000000000002,1000,IVR,656,0.016999999999999904,2,1
Innovative Research,2021-08-04,0.39,0.25,0.19,0.07,0.06,0.03,1953,IVR,654,0.009999999999999787,7,1
Leger,2021-08-01,0.36,0.29,0.2,0.07,0.04,0.03,2079,IVR,651,0.010000000000000009,4,1
Nanos Research,2021-07-30,0.38799999999999996,0.255,0.195,0.059000000000000004,0.064,0.026000000000000002,1000,IVR,649,0.0129999999999999,2,1
Nanos Research,2021-07-23,0.373,0.25,0.214,0.06,0.055,0.035,1000,IVR,642,0.0129999999999999,2,1
Innovative Research,2021-07-21,0.41,0.27,0.17,0.06,0.05,0.03,834,IVR,640,0.010000000000000009,7,1
EKOS,2021-07-21,0.35200000000000004,0.27699999999999997,0.185,0.055999999999999994,0.052000000000000005,0.045,1934,online,640,0.03299999999999981,5,2
Ipsos,2021-07-20,0.36,0.3,0.2,0.07,0.03,0.02,1000,IVR,639,0.020000000000000018,8,1
Angus Reid,2021-07-16,0.33,0.31,0.2,0.07,0.03,0.04,1625,IVR,635,0.019999999999999796,6,1
Nanos Research,2021-07-16,0.39299999999999996,0.23600000000000002,0.217,0.048,0.068,0.03,1000,IVR,635,0.008000000000000007,2,1
Leger,2021-07-04,0.33,0.3,0.19,0.07,0.05,0.04,1518,IVR,623,0.019999999999999796,4,1
Nanos Research,2021-07-02,0.381,0.23600000000000002,0.204,0.051,0.075,0.043,1000,IVR,621,0.010000000000000009,2,1
Abacus Data,2021-06-30,0.37,0.25,0.2,0.07,0.06,0.03,1500,IVR,619,0.019999999999999796,3,1
Nanos Research,2021-06-25,0.371,0.247,0.193,0.057999999999999996,0.079,0.040999999999999995,1000,IVR,614,0.01100000000000001,2,1
Abacus Data,2021-06-21,0.37,0.27,0.18,0.09,0.05,0.03,2070,IVR,610,0.009999999999999898,3,1
Nanos Research,2021-06-18,0.374,0.254,0.182,0.07,0.065,0.042,1000,IVR,607,0.0129999999999999,2,1
Abacus Data,2021-06-16,0.34,0.29,0.21,0.08,0.06,0.01,1500,IVR,605,0.010000000000000009,3,1
Research Co.,2021-06-14,0.38,0.3,0.2,0.05,0.05,0.01,1000,IVR,603,0.010000000000000009,9,1
EKOS,2021-06-14,0.35,0.262,0.17300000000000001,0.066,0.083,0.039,1412,online,603,0.027000000000000024,5,2
Nanos Research,2021-06-11,0.375,0.264,0.175,0.07400000000000001,0.07,0.036000000000000004,1000,IVR,600,0.005999999999999783,2,1
Counsel,2021-06-04,0.319,0.276,0.179,0.077,0.069,0.042,3175,IVR,593,0.038000000000000034,10,1
Nanos Research,2021-06-04,0.38,0.273,0.171,0.066,0.061,0.039,1000,IVR,593,0.009999999999999898,2,1
Abacus Data,2021-05-28,0.34,0.31,0.17,0.07,0.07,0.02,2000,IVR,586,0.019999999999999796,3,1
Nanos Research,2021-05-28,0.382,0.273,0.17,0.077,0.061,0.031,1000,IVR,586,0.005999999999999894,2,1
EKOS,2021-05-27,0.354,0.278,0.179,0.055999999999999994,0.07,0.04,1948,online,585,0.02299999999999991,5,2
Nanos Research,2021-05-21,0.369,0.287,0.161,0.07200000000000001,0.07,0.036000000000000004,1000,IVR,579,0.004999999999999893,2,1
Nanos Research,2021-05-14,0.369,0.284,0.16699999999999998,0.075,0.063,0.035,1000,IVR,572,0.007000000000000006,2,1
Abacus Data,2021-05-12,0.34,0.32,0.17,0.06,0.07,0.03,1500,IVR,570,0.009999999999999787,3,1
Nanos Research,2021-05-07,0.35200000000000004,0.295,0.166,0.085,0.068,0.027999999999999997,1000,IVR,565,0.006000000000000005,2,1
EKOS,2021-05-06,0.36,0.261,0.19699999999999998,0.04,0.071,0.049,1808,online,564,0.02200000000000002,5,2
Innovative Research,2021-05-05,0.4,0.27,0.18,0.04,0.07,0.03,2738,IVR,563,0.009999999999999787,7,1
Nanos Research,2021-04-30,0.35200000000000004,0.311,0.165,0.073,0.07200000000000001,0.02,1000,IVR,558,0.006999999999999895,2,1
Abacus Data,2021-04-25,0.36,0.29,0.17,0.07,0.07,0.02,2201,IVR,553,0.020000000000000018,3,1
Nanos Research,2021-04-23,0.363,0.28800000000000003,0.18100000000000002,0.07200000000000001,0.07200000000000001,0.019,1000,IVR,551,0.004999999999999782,2,1
Nanos Research,2021-04-16,0.361,0.29,0.185,0.068,0.07400000000000001,0.017,1000,IVR,544,0.004999999999999782,2,1
Abacus Data,2021-04-14,0.37,0.29,0.19,0.06,0.06,0.02,1981,IVR,542,0.010000000000000009,3,1
Innovative Research,2021-04-13,0.39,0.27,0.17,0.04,0.08,0.04,2390,IVR,541,0.009999999999999898,7,1
Nanos Research,2021-04-09,0.376,0.292,0.18899999999999997,0.059000000000000004,0.07,0.012,1000,IVR,537,0.0020000000000000018,2,1
Nanos Research,2021-04-02,0.392,0.27,0.18,0.055999999999999994,0.08,0.015,1000,IVR,530,0.006999999999999895,2,1
Abacus Data,2021-03-30,0.38,0.3,0.17,0.07,0.06,0.01,2000,IVR,527,0.010000000000000009,3,1
Nanos Research,2021-03-26,0.387,0.27399999999999997,0.174,0.057999999999999996,0.079,0.02,1000,IVR,523,0.008000000000000007,2,1
Nanos Research,2021-03-19,0.38,0.27699999999999997,0.17,0.059000000000000004,0.08,0.026000000000000002,1000,IVR,516,0.007999999999999896,2,1
Abacus Data,2021-03-17,0.33,0.29,0.19,0.07,0.08,0.03,2000,IVR,514,0.009999999999999898,3,1
Research Co.,2021-03-15,0.37,0.28,0.2,0.07,0.06,0.01,1000,IVR,512,0.009999999999999787,9,1
Nanos Research,2021-03-12,0.36700000000000005,0.276,0.17,0.055999999999999994,0.085,0.037000000000000005,1000,IVR,509,0.009000000000000008,2,1
Abacus Data,2021-03-05,0.34,0.3,0.18,0.08,0.07,0.02,2000,IVR,502,0.010000000000000009,3,1
Nanos Research,2021-03-05,0.348,0.297,0.16899999999999998,0.062,0.07400000000000001,0.040999999999999995,1000,IVR,502,0.008999999999999786,2,1
Ipsos,2021-03-03,0.35,0.28,0.16,0.07,0.1,0.01,1000,IVR,500,0.029999999999999916,8,1
Angus Reid,2021-03-03,0.35,0.31,0.19,0.06,0.04,0.02,5004,IVR,500,0.030000000000000027,6,1
Nanos Research,2021-02-26,0.35,0.294,0.165,0.062,0.07200000000000001,0.044000000000000004,1000,IVR,495,0.0129999999999999,2,1
Angus Reid,2021-02-19,0.34,0.31,0.2,0.07,0.05,0.02,1987,IVR,488,0.009999999999999787,6,1
Nanos Research,2021-02-19,0.35200000000000004,0.29,0.168,0.068,0.07200000000000001,0.043,1000,IVR,488,0.006999999999999784,2,1
Nanos Research,2021-02-12,0.342,0.303,0.17,0.075,0.067,0.033,1000,IVR,481,0.009999999999999898,2,1
Nanos Research,2021-02-05,0.359,0.289,0.16399999999999998,0.07400000000000001,0.07400000000000001,0.031,1000,IVR,474,0.009000000000000008,2,1
Abacus Data,2021-02-03,0.32,0.31,0.18,0.08,0.07,0.02,3930,IVR,472,0.020000000000000018,3,1
Nanos Research,2021-01-29,0.35,0.303,0.155,0.085,0.07400000000000001,0.025,1000,IVR,467,0.007999999999999896,2,1
EKOS,2021-01-27,0.34299999999999997,0.309,0.15,0.057,0.077,0.037000000000000005,8575,online,465,0.027000000000000024,5,2
Angus Reid,2021-01-24,0.35,0.3,0.2,0.06,0.05,0.01,1559,IVR,462,0.030000000000000027,6,1
Nanos Research,2021-01-22,0.363,0.28800000000000003,0.159,0.081,0.078,0.022000000000000002,1000,IVR,460,0.009000000000000008,2,1
Mainstreet Research,2021-01-20,0.39299999999999996,0.319,0.14400000000000002,0.052000000000000005,0.052000000000000005,0.024,3132,online,458,0.015999999999999903,1,2
Nanos Research,2021-01-15,0.387,0.27399999999999997,0.157,0.08,0.075,0.02,1000,IVR,453,0.007000000000000006,2,1
Abacus Data,2021-01-12,0.35,0.31,0.17,0.08,0.06,0.01,2000,IVR,450,0.020000000000000018,3,1
Nanos Research,2021-01-08,0.402,0.273,0.165,0.067,0.07400000000000001,0.012,1000,IVR,446,0.006999999999999895,2,1
Nanos Research,2021-01-01,0.40399999999999997,0.258,0.182,0.064,0.073,0.015,1000,IVR,439,0.004000000000000115,2,1
Nanos Research,2020-12-25,0.39899999999999997,0.268,0.18,0.065,0.069,0.013999999999999999,1000,IVR,432,0.0050000000000001155,2,1
Nanos Research,2020-12-18,0.381,0.262,0.2,0.063,0.07,0.015,1000,IVR,425,0.009000000000000008,2,1
Mainstreet Research,2020-12-17,0.379,0.332,0.131,0.049,0.067,0.023,1286,online,424,0.018999999999999795,1,2
Research Co.,2020-12-14,0.37,0.31,0.2,0.07,0.03,0.01,1000,IVR,421,0.010000000000000009,9,1
Nanos Research,2020-12-11,0.368,0.264,0.21100000000000002,0.07,0.063,0.013000000000000001,1000,IVR,418,0.01100000000000001,2,1
Nanos Research,2020-12-04,0.36,0.266,0.2,0.07,0.079,0.011000000000000001,1000,IVR,411,0.013999999999999901,2,1
Angus Reid,2020-11-30,0.34,0.33,0.19,0.06,0.04,0.01,5003,IVR,407,0.029999999999999805,6,1
Nanos Research,2020-11-27,0.35700000000000004,0.265,0.19899999999999998,0.06,0.094,0.012,1000,IVR,404,0.013000000000000012,2,1
Mainstreet Research,2020-11-26,0.39,0.317,0.12300000000000001,0.051,0.067,0.033,1341,online,403,0.018999999999999795,1,2
EKOS,2020-11-26,0.35,0.313,0.139,0.069,0.068,0.038,5240,online,403,0.02299999999999991,5,2
Delphi Polling,2020-11-25,0.38,0.32,0.16,0.06,0.06,0.01,1000,IVR,402,0.010000000000000009,11,1
Abacus Data,2020-11-24,0.36,0.3,0.16,0.07,0.05,0.03,2912,IVR,401,0.030000000000000027,3,1
Nanos Research,2020-11-20,0.359,0.267,0.196,0.055999999999999994,0.1,0.013000000000000001,1000,IVR,397,0.008999999999999897,2,1
Nanos Research,2020-11-13,0.359,0.264,0.198,0.054000000000000006,0.107,0.013000000000000001,1000,IVR,390,0.0050000000000000044,2,1
Abacus Data,2020-11-12,0.38,0.3,0.15,0.08,0.06,0.02,1664,IVR,389,0.010000000000000009,3,1
Nanos Research,2020-11-06,0.376,0.289,0.185,0.049,0.085,0.01,1000,IVR,383,0.005999999999999894,2,1
Nanos Research,2020-10-30,0.395,0.27899999999999997,0.16899999999999998,0.055999999999999994,0.08199999999999999,0.011000000000000001,1000,IVR,376,0.008000000000000007,2,1
Nanos Research,2020-10-23,0.386,0.294,0.156,0.06,0.08199999999999999,0.012,1000,IVR,369,0.01000000000000012,2,1
Mainstreet Research,2020-10-21,0.358,0.34,0.15,0.054000000000000006,0.05,0.034,1328,online,367,0.013999999999999901,1,2
EKOS,2020-10-19,0.35200000000000004,0.314,0.13699999999999998,0.057,0.087,0.04,1416,online,365,0.0129999999999999,5,2
Nanos Research,2020-10-16,0.385,0.325,0.134,0.06,0.076,0.013999999999999999,1000,IVR,362,0.006000000000000116,2,1
Nanos Research,2020-10-09,0.353,0.332,0.149,0.065,0.079,0.012,1000,IVR,355,0.010000000000000009,2,1
Innovative Research,2020-10-06,0.37,0.31,0.16,0.06,0.05,0.03,2771,IVR,352,0.020000000000000018,7,1
Nanos Research,2020-10-02,0.341,0.335,0.166,0.066,0.068,0.018000000000000002,1000,IVR,348,0.005999999999999783,2,1
Abacus Data,2020-09-28,0.35,0.3,0.17,0.06,0.07,0.03,2440,IVR,344,0.020000000000000018,3,1
Nanos Research,2020-09-25,0.341,0.342,0.16699999999999998,0.066,0.059000000000000004,0.018000000000000002,1000,IVR,341,0.006999999999999784,2,1
Mainstreet Research,2020-09-24,0.371,0.34600000000000003,0.152,0.048,0.046,0.022000000000000002,1307,online,340,0.014999999999999791,1,2
Abacus Data,2020-09-21,0.35,0.32,0.17,0.06,0.08,0.02,1500,IVR,337,1.1102230246251565e-16,3,1
Nanos Research,2020-09-18,0.35,0.332,0.174,0.06,0.061,0.015,1000,IVR,334,0.008000000000000118,2,1
Research Co.,2020-09-13,0.38,0.32,0.17,0.08,0.03,0.01,1000,IVR,329,0.010000000000000009,9,1
Nanos Research,2020-09-11,0.358,0.301,0.191,0.068,0.06,0.015,1000,IVR,327,0.006999999999999784,2,1
Nanos Research,2020-09-04,0.332,0.311,0.192,0.078,0.076,0.009000000000000001,1000,IVR,320,0.002000000000000113,2,1
Abacus Data,2020-09-03,0.33,0.31,0.18,0.07,0.07,0.03,2289,IVR,319,0.009999999999999787,3,1
Angus Reid,2020-09-01,0.35,0.35,0.17,0.07,0.04,0.01,5005,IVR,317,0.010000000000000009,6,1
Innovative Research,2020-09-01,0.38,0.28,0.16,0.07,0.07,0.03,2308,IVR,317,0.009999999999999787,7,1
Nanos Research,2020-08-28,0.34299999999999997,0.305,0.195,0.076,0.071,0.009000000000000001,1000,IVR,313,0.001000000000000112,2,1
Nanos Research,2020-08-21,0.344,0.3,0.19699999999999998,0.075,0.071,0.011000000000000001,1000,IVR,306,0.002000000000000224,2,1
Abacus Data,2020-08-19,0.36,0.3,0.18,0.06,0.05,0.04,1500,IVR,304,0.010000000000000009,3,1
Nanos Research,2020-08-14,0.335,0.315,0.179,0.064,0.086,0.016,1000,IVR,299,0.0050000000000000044,2,1
Mainstreet Research,2020-08-12,0.413,0.289,0.156,0.055,0.052000000000000005,0.021,1594,online,297,0.013999999999999901,1,2
Nanos Research,2020-08-07,0.361,0.301,0.17600000000000002,0.064,0.07400000000000001,0.02,1000,IVR,292,0.0040000000000000036,2,1
Nanos Research,2020-07-31,0.34299999999999997,0.297,0.174,0.068,0.083,0.027999999999999997,1000,IVR,285,0.007000000000000117,2,1
Abacus Data,2020-07-29,0.34,0.3,0.17,0.08,0.06,0.02,1500,IVR,283,0.030000000000000027,3,1
Nanos Research,2020-07-24,0.33299999999999996,0.299,0.16899999999999998,0.069,0.09300000000000001,0.031,1000,IVR,278,0.006000000000000116,2,1
EKOS,2020-07-22,0.34700000000000003,0.3,0.152,0.065,0.076,0.035,1505,online,276,0.02499999999999991,5,2
Innovative Research,2020-07-20,0.4,0.28,0.14,0.07,0.07,0.03,2599,IVR,274,0.009999999999999787,7,1
Nanos Research,2020-07-17,0.349,0.289,0.16899999999999998,0.071,0.08800000000000001,0.027999999999999997,1000,IVR,271,0.006000000000000116,2,1
EKOS,2020-07-16,0.332,0.295,0.182,0.066,0.076,0.028999999999999998,694,online,270,0.020000000000000018,5,2
Abacus Data,2020-07-16,0.36,0.31,0.16,0.07,0.07,0.02,1500,IVR,270,0.010000000000000009,3,1
Nanos Research,2020-07-10,0.359,0.289,0.156,0.067,0.09300000000000001,0.027000000000000003,1000,IVR,264,0.009000000000000008,2,1
Nanos Research,2020-07-03,0.363,0.278,0.16399999999999998,0.061,0.10099999999999999,0.025,1000,IVR,257,0.008000000000000118,2,1
Mainstreet Research,2020-06-26,0.43200000000000005,0.27399999999999997,0.141,0.057,0.048,0.028999999999999998,1283,online,250,0.018999999999999906,1,2
Nanos Research,2020-06-26,0.384,0.27,0.14800000000000002,0.065,0.09300000000000001,0.032,1000,IVR,250,0.008000000000000007,2,1
Nanos Research,2020-06-19,0.382,0.261,0.141,0.075,0.095,0.038,1000,IVR,243,0.008000000000000007,2,1
EKOS,2020-06-16,0.405,0.299,0.127,0.051,0.065,0.035,3006,online,240,0.017999999999999905,5,2
Nanos Research,2020-06-12,0.368,0.257,0.163,0.07,0.09300000000000001,0.044000000000000004,1000,IVR,236,0.004999999999999893,2,1
Nanos Research,2020-06-05,0.358,0.255,0.16699999999999998,0.081,0.083,0.047,1000,IVR,229,0.009000000000000008,2,1
Nanos Research,2020-05-22,0.353,0.262,0.193,0.066,0.075,0.046,1000,IVR,215,0.004999999999999893,2,1
Nanos Research,2020-05-15,0.36700000000000005,0.263,0.184,0.067,0.07200000000000001,0.040999999999999995,1000,IVR,208,0.005999999999999894,2,1
Nanos Research,2020-05-08,0.369,0.261,0.192,0.061,0.08,0.032,1000,IVR,201,0.0050000000000000044,2,1
Mainstreet Research,2020-05-07,0.433,0.294,0.115,0.057999999999999996,0.059000000000000004,0.03,1404,online,200,0.01100000000000001,1,2
EKOS,2020-05-07,0.42700000000000005,0.28300000000000003,0.106,0.067,0.067,0.033,5276,online,200,0.017000000000000015,5,2
Research Co.,2020-05-03,0.39,0.3,0.17,0.05,0.07,0.01,1000,IVR,196,0.010000000000000009,9,1
Nanos Research,2020-05-01,0.369,0.258,0.19,0.057999999999999996,0.084,0.036000000000000004,1000,IVR,194,0.0050000000000000044,2,1
Nanos Research,2020-04-24,0.382,0.262,0.17,0.069,0.08,0.034,1000,IVR,187,0.0030000000000000027,2,1
Nanos Research,2020-04-17,0.38299999999999995,0.264,0.174,0.07200000000000001,0.07,0.027999999999999997,1000,IVR,180,0.008999999999999897,2,1
Nanos Research,2020-04-10,0.381,0.284,0.157,0.081,0.067,0.02,1000,IVR,173,0.010000000000000009,2,1
Nanos Research,2020-04-03,0.389,0.29100000000000004,0.14800000000000002,0.084,0.065,0.011000000000000001,1000,IVR,166,0.0119999999999999,2,1
Innovative Research,2020-04-02,0.4,0.27,0.15,0.08,0.07,0.02,2059,IVR,165,0.010000000000000009,7,1
Nanos Research,2020-03-27,0.361,0.309,0.166,0.07,0.07,0.008,1000,IVR,159,0.016000000000000014,2,1
EKOS,2020-03-26,0.40399999999999997,0.28600000000000003,0.122,0.086,0.059000000000000004,0.022000000000000002,2304,online,158,0.02100000000000002,5,2
Nanos Research,2020-03-20,0.348,0.325,0.174,0.06,0.07,0.013000000000000001,1000,IVR,152,0.009999999999999898,2,1
Mainstreet Research,2020-03-17,0.386,0.322,0.111,0.08800000000000001,0.057,0.017,1665,online,149,0.019000000000000017,1,2
Nanos Research,2020-03-13,0.37,0.295,0.17600000000000002,0.059000000000000004,0.07400000000000001,0.018000000000000002,1000,IVR,145,0.007999999999999785,2,1
Nanos Research,2020-03-06,0.348,0.324,0.171,0.057999999999999996,0.07400000000000001,0.018000000000000002,1000,IVR,138,0.006999999999999895,2,1
Nanos Research,2020-02-28,0.353,0.35100000000000003,0.15,0.059000000000000004,0.065,0.016,1000,IVR,131,0.006000000000000005,2,1
